obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl;n_dose_env;XCEC;xnit;XPH;XSOC;XSAND;XSILT;XCLAY;LATNR;LONNR;pot_eva;mn_temp;prec_mn;xsom
4836;34;Wang Zhiyong_2009_Effects_Chinese;Database of Luncheng;;116,91;39,1;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,3;8,1;25,5;;;10,8;;;NUEagr;%;19,6;;;;;;;;3;;;;;;400;;189,5;1,04;8,18;9,97;28,1;46,97;24,88;;;1100,98;13,74;497,44;19,93
4837;34;Wang Zhiyong_2009_Effects_Chinese;Database of Luncheng;;116,91;39,1;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,3;8,1;25,5;;;10,8;;;NUEagr;%;19,6;;;;;;;;3;;;;;;400;;189,5;1,04;8,18;9,97;28,1;46,97;24,88;;;1100,98;13,74;497,44;19,93
4838;34;Wang Zhiyong_2009_Effects_Chinese;Database of Luncheng;;116,91;39,1;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,3;8,1;25,5;;;10,8;;;NUEagr;%;19,6;;;;;;;;3;;;;;;400;;189,5;1,04;8,18;9,97;28,1;46,97;24,88;;;1100,98;13,74;497,44;19,93
4839;34;Guo Junmei_2015_Effect_Chinese;Database of Luncheng;;126,82;45,86;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;4,8;6,6;34,9;;;20,9;;;NUEagr;%;44,6;;;;;;;;3;;;;;;165;;250,17;2,32;6,67;25,65;23,17;41,28;35,6;;;849,15;4,44;526,03;51,3
4840;34;Guo Junmei_2015_Effect_Chinese;Database of Luncheng;;126,82;45,86;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;4,8;6,6;34,9;;;20,9;;;NUEagr;%;45,6;;;;;;;;3;;;;;;165;;250,17;2,32;6,67;25,65;23,17;41,28;35,6;;;849,15;4,44;526,03;51,3
4841;34;Guo Junmei_2015_Effect_Chinese;Database of Luncheng;;126,82;45,86;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;4,8;6,6;34,9;;;20,9;;;NUEagr;%;45,6;;;;;;;;3;;;;;;165;;250,17;2,32;6,67;25,65;23,17;41,28;35,6;;;849,15;4,44;526,03;51,3
4842;34;Li Jia_2014_Effects_Chinese;Database of Luncheng;;125,41;43,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,6;6,8;24,9;;;13,6;;;NUEagr;%;40,4;;;;;;;;3;;;;;;240;;253,03;1,44;6,28;15,95;27,89;39,16;21,97;;;915,02;6,03;580,3;31,9
4843;34;Li Jia_2014_Effects_Chinese;Database of Luncheng;;125,41;43,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,6;6,8;24,9;;;13,6;;;NUEagr;%;40,4;;;;;;;;3;;;;;;240;;253,03;1,44;6,28;15,95;27,89;39,16;21,97;;;915,02;6,03;580,3;31,9
4844;34;Li Jia_2014_Effects_Chinese;Database of Luncheng;;125,41;43,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,6;6,8;24,9;;;13,6;;;NUEagr;%;40,4;;;;;;;;3;;;;;;240;;253,03;1,44;6,28;15,95;27,89;39,16;21,97;;;915,02;6,03;580,3;31,9
4845;34;Li Jia_2014_Effects_Chinese;Database of Luncheng;;125,41;43,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,6;6,8;24,9;;;13,6;;;NUEagr;%;40,4;;;;;;;;3;;;;;;240;;253,03;1,44;6,28;15,95;27,89;39,16;21,97;;;915,02;6,03;580,3;31,9
4846;34;Li Jia_2014_Effects_Chinese;Database of Luncheng;;125,41;43,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,6;6,8;24,9;;;13,6;;;NUEagr;%;40,4;;;;;;;;3;;;;;;240;;253,03;1,44;6,28;15,95;27,89;39,16;21,97;;;915,02;6,03;580,3;31,9
4847;34;Li Jia_2014_Effects_Chinese;Database of Luncheng;;125,41;43,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,6;6,8;24,9;;;13,6;;;NUEagr;%;40,4;;;;;;;;3;;;;;;240;;253,03;1,44;6,28;15,95;27,89;39,16;21,97;;;915,02;6,03;580,3;31,9
4848;34;Li Jia_2014_Effects_Chinese;Database of Luncheng;;125,41;43,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,6;6,8;24,9;;;13,6;;;NUEagr;%;40,4;;;;;;;;3;;;;;;240;;253,03;1,44;6,28;15,95;27,89;39,16;21,97;;;915,02;6,03;580,3;31,9
4849;34;Li Jia_2014_Effects_Chinese;Database of Luncheng;;125,41;43,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,6;6,8;24,9;;;13,6;;;NUEagr;%;40,4;;;;;;;;3;;;;;;240;;253,03;1,44;6,28;15,95;27,89;39,16;21,97;;;915,02;6,03;580,3;31,9
4850;34;Liu Zhanjun_2012_Effects_Chinese;Database of Luncheng;;124,84;43,72;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,7;7,6;26,3;;;13,1;75;90;NUEagr;%;27,3;;;;;;;;3;;;;;;190;;294,5;1,6;7,73;14,17;35,32;37,9;26,73;;;936,94;6,75;550,16;28,33
4851;34;Liu Zhanjun_2012_Effects_Chinese;Database of Luncheng;;124,84;43,72;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,7;7,6;26,3;;;13,1;75;90;NUEagr;%;27,3;;;;;;;;3;;;;;;152;;294,5;1,6;7,73;14,17;35,32;37,9;26,73;;;936,94;6,75;550,16;28,33
4852;34;Liu Zhanjun_2012_Effects_Chinese;Database of Luncheng;;124,84;43,72;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,7;7,6;26,3;;;13,1;75;90;NUEagr;%;27,3;;;;;;;;3;;;;;;152;;294,5;1,6;7,73;14,17;35,32;37,9;26,73;;;936,94;6,75;550,16;28,33
4853;34;Liu Zhanjun_2012_Effects_Chinese;Database of Luncheng;;124,84;43,72;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,7;7,6;26,3;;;13,1;75;90;NUEagr;%;27,3;;;;;;;;3;;;;;;152;;294,5;1,6;7,73;14,17;35,32;37,9;26,73;;;936,94;6,75;550,16;28,33
4854;34;Liu Zhanjun_2012_Effects_Chinese;Database of Luncheng;;124,84;43,72;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,7;7,6;26,3;;;13,1;75;90;NUEagr;%;24,7;;;;;;;;3;;;;;;190;;294,5;1,6;7,73;14,17;35,32;37,9;26,73;;;936,94;6,75;550,16;28,33
4855;34;Liu Zhanjun_2012_Effects_Chinese;Database of Luncheng;;124,84;43,72;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,7;7,6;26,3;;;13,1;75;90;NUEagr;%;24,7;;;;;;;;3;;;;;;150;;294,5;1,6;7,73;14,17;35,32;37,9;26,73;;;936,94;6,75;550,16;28,33
4856;34;Liu Zhanjun_2012_Effects_Chinese;Database of Luncheng;;124,84;43,72;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,7;7,6;26,3;;;13,1;75;90;NUEagr;%;24,7;;;;;;;;3;;;;;;150;;294,5;1,6;7,73;14,17;35,32;37,9;26,73;;;936,94;6,75;550,16;28,33
4857;34;Liu Zhanjun_2012_Effects_Chinese;Database of Luncheng;;124,84;43,72;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,7;7,6;26,3;;;13,1;75;90;NUEagr;%;24,7;;;;;;;;3;;;;;;150;;294,5;1,6;7,73;14,17;35,32;37,9;26,73;;;936,94;6,75;550,16;28,33
4858;34;Zheng Wenkui_2016_Combining;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,5;7,3;25,8;;;7,4;75;150;NUEagr;%;34;;;;;;;;3;;;;;;150;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4859;34;Zheng Wenkui_2016_Combining;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,5;7,3;25,8;;;7,4;75;150;NUEagr;%;33,8;;;;;;;;3;;;;;;225;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4860;34;Zheng Wenkui_2016_Combining;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,5;7,3;25,8;;;7,4;75;150;NUEagr;%;47,3;;;;;;;;3;;;;;;150;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4861;34;Zheng Wenkui_2016_Combining;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,5;7,3;25,8;;;7,4;75;150;NUEagr;%;37,2;;;;;;;;3;;;;;;225;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4862;34;Zheng Wenkui_2016_Combining;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;wheat;;;;;;;;;;;1,5;7,3;25,8;;;7,4;150;75;NUEagr;%;34,2;;;;;;;;3;;;;;;150;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4863;34;Zheng Wenkui_2016_Combining;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;wheat;;;;;;;;;;;1,5;7,3;25,8;;;7,4;150;75;NUEagr;%;39,2;;;;;;;;3;;;;;;225;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4864;34;Zheng Wenkui_2016_Combining;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;wheat;;;;;;;;;;;1,5;7,3;25,8;;;7,4;150;75;NUEagr;%;37,6;;;;;;;;3;;;;;;150;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4865;34;Zheng Wenkui_2016_Combining;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;wheat;;;;;;;;;;;1,5;7,3;25,8;;;7,4;150;75;NUEagr;%;37,6;;;;;;;;3;;;;;;225;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4866;34;Noellsch. A.J_2009_Corn;Database of Luncheng;;-91,81;40,02;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,8;6;35,7;;;16,7;32;224;NUEagr;%;17;;;;;;;;4;;;;;;168;;206,83;1,82;6,07;15,25;7,58;59,97;32,43;;;1078,22;12,08;988,01;30,5
4867;34;Noellsch. A.J_2009_Corn;Database of Luncheng;;-91,81;40,02;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,8;6;35,7;;;16,7;32;224;NUEagr;%;10;;;;;;;;4;;;;;;168;;206,83;1,82;6,07;15,25;7,58;59,97;32,43;;;1078,22;12,08;988,01;30,5
4868;34;Noellsch. A.J_2009_Corn;Database of Luncheng;;-91,81;40,02;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,8;6;35,7;;;16,7;32;224;NUEagr;%;19;;;;;;;;4;;;;;;168;;206,83;1,82;6,07;15,25;7,58;59,97;32,43;;;1078,22;12,08;988,01;30,5
4869;34;Noellsch. A.J_2009_Corn;Database of Luncheng;;-91,81;40,02;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,8;6;35,7;;;16,7;32;224;NUEagr;%;64;;;;;;;;4;;;;;;168;;206,83;1,82;6,07;15,25;7,58;59,97;32,43;;;1078,22;12,08;988,01;30,5
4870;34;Noellsch. A.J_2009_Corn;Database of Luncheng;;-91,81;40,02;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,8;6;35,7;;;16,7;32;224;NUEagr;%;58;;;;;;;;4;;;;;;168;;206,83;1,82;6,07;15,25;7,58;59,97;32,43;;;1078,22;12,08;988,01;30,5
4871;34;Noellsch. A.J_2009_Corn;Database of Luncheng;;-91,81;40,02;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,8;6;35,7;;;16,7;32;224;NUEagr;%;41;;;;;;;;4;;;;;;168;;206,83;1,82;6,07;15,25;7,58;59,97;32,43;;;1078,22;12,08;988,01;30,5
4872;34;Guo Liwei_2016_Interaction;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,5;7,3;25,8;;;7,4;75;150;NUEagr;%;43;;;1;;;;;3;;;;;;225;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4873;34;Guo Liwei_2016_Interaction;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,5;7,3;25,8;;;7,4;75;150;NUEagr;%;44,1;;;1,1;;;;;3;;;;;;225;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4874;34;Guo Liwei_2016_Interaction;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,5;7,3;25,8;;;7,4;75;150;NUEagr;%;44;;;1,3;;;;;3;;;;;;225;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4875;34;Guo Liwei_2016_Interaction;Database of Luncheng;;117,15;36,15;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,5;7,3;25,8;;;7,4;75;150;NUEagr;%;46,4;;;1,2;;;;;3;;;;;;225;;188,83;0,9;7,03;7,57;36,07;44,18;19,78;;;1152,27;13,44;660,86;15,13
4876;34;Rubin. J.C_2016_Maize;Database of Luncheng;;-91,06;44,7;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,8;5,5;24,9;;;21,7;;;NUEagr;%;47;;;;;;;;4;;;;;;180;;102,67;2,54;5,05;22,33;42,65;34,98;22,35;;;835,41;7,28;850,1;44,67
4877;34;Rubin. J.C_2016_Maize;Database of Luncheng;;-91,06;44,7;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,8;5,5;24,9;;;21,7;;;NUEagr;%;42;;;;;;;;4;;;;;;225;;102,67;2,54;5,05;22,33;42,65;34,98;22,35;;;835,41;7,28;850,1;44,67
4878;34;Rubin. J.C_2016_Maize;Database of Luncheng;;-91,06;44,7;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,8;5,5;24,9;;;21,7;;;NUEagr;%;56;;;;;;;;4;;;;;;180;;102,67;2,54;5,05;22,33;42,65;34,98;22,35;;;835,41;7,28;850,1;44,67
4879;34;Rubin. J.C_2016_Maize;Database of Luncheng;;-91,06;44,7;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,8;5,5;24,9;;;21,7;;;NUEagr;%;59;;;;;;;;4;;;;;;225;;102,67;2,54;5,05;22,33;42,65;34,98;22,35;;;835,41;7,28;850,1;44,67
4880;34;Rubin. J.C_2016_Maize;Database of Luncheng;;-91,06;44,7;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,8;5,5;24,9;;;21,7;;;NUEagr;%;52;;;;;;;;4;;;;;;180;;102,67;2,54;5,05;22,33;42,65;34,98;22,35;;;835,41;7,28;850,1;44,67
4881;34;Rubin. J.C_2016_Maize;Database of Luncheng;;-91,06;44,7;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;3,8;5,5;24,9;;;21,7;;;NUEagr;%;47;;;;;;;;4;;;;;;225;;102,67;2,54;5,05;22,33;42,65;34,98;22,35;;;835,41;7,28;850,1;44,67
4882;34;Rubin. J.C_2016_Maize;Database of Luncheng;;-94,83;45,71;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;4,2;6,5;19,5;;;19,6;;;NUEagr;%;52;;;;;;;;4;;;;;;180;;144,5;2,14;6,45;26,45;49,52;32,78;17,72;;;876,63;6,19;754,5;52,9
4883;34;Rubin. J.C_2016_Maize;Database of Luncheng;;-94,83;45,71;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;4,2;6,5;19,5;;;19,6;;;NUEagr;%;40;;;;;;;;4;;;;;;225;;144,5;2,14;6,45;26,45;49,52;32,78;17,72;;;876,63;6,19;754,5;52,9
4884;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;51;;;;;;;;4;;;;;;50;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4885;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;43;;;;;;;;4;;;;;;100;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4886;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;45;;;;;;;;4;;;;;;150;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4887;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;26;;;;;;;;4;;;;;;50;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4888;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;21;;;;;;;;4;;;;;;100;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4889;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;22;;;;;;;;4;;;;;;150;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4890;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;64;;;;;;;;4;;;;;;50;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4891;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;51;;;;;;;;4;;;;;;100;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4892;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;52;;;;;;;;4;;;;;;150;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4893;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;45;;;;;;;;4;;;;;;150;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4894;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;22;;;;;;;;4;;;;;;150;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4895;34;Gagnon. B_2012_Urea;Database of Luncheng;;-70,87;46,78;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;10,3;5,3;12,7;;;33,4;;;NUEagr;%;52;;;;;;;;4;;;;;;150;;213,67;2,41;6;35,73;39,28;30,85;29,85;;;629,1;4;1216,04;71,47
4896;34;Zhang Shuxiang_2007_Biologica_Chinese;Database of Luncheng;;116,18;40,14;;;;;;;;;;;;;;;;;;;;wheat;;;;;;;;;;;1,8;7,9;20;;;8,8;75;45;NUEagr;%;45,3;;;;;;;;3;;;;;;150;;125,93;1,03;5,37;12,79;29,06;28,13;15,08;;;1086,71;11,04;453,63;25,57
4897;34;Zhang Shuxiang_2007_Biologica_Chinese;Database of Luncheng;;116,18;40,14;;;;;;;;;;;;;;;;;;;;wheat;;;;;;;;;;;1,8;7,9;20;;;8,8;75;45;NUEagr;%;40,9;;;;;;;;3;;;;;;225;;125,93;1,03;5,37;12,79;29,06;28,13;15,08;;;1086,71;11,04;453,63;25,57
4898;34;Zhang Shuxiang_2007_Biologica_Chinese;Database of Luncheng;;116,18;40,14;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,8;7,9;20;;;8,8;75;45;NUEagr;%;57;;;1;;;;;3;;;;;;225;;125,93;1,03;5,37;12,79;29,06;28,13;15,08;;;1086,71;11,04;453,63;25,57
4899;34;Zhang Xin_2009_The_Chinese;Database of Luncheng;;123,54;40,01;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,4;6,5;20;;;9,4;75;45;NUEagr;%;33,2;;;;;;;;3;;;;;;150;;178,83;1,1;6,45;12,28;43,8;36,05;20,1;;;895,72;8,26;816,22;24,57
4900;34;Zhang Xin_2009_The_Chinese;Database of Luncheng;;123,54;40,01;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,4;6,5;20;;;9,4;75;45;NUEagr;%;33,2;;;;;;;;3;;;;;;150;;178,83;1,1;6,45;12,28;43,8;36,05;20,1;;;895,72;8,26;816,22;24,57
4901;34;Zhang Xin_2009_The_Chinese;Database of Luncheng;;123,54;40,01;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,4;6,5;20;;;9,4;75;45;NUEagr;%;30,6;;;;;;;;3;;;;;;105;;178,83;1,1;6,45;12,28;43,8;36,05;20,1;;;895,72;8,26;816,22;24,57
4902;34;Zhang Xin_2009_The_Chinese;Database of Luncheng;;123,54;40,01;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,4;6,5;20;;;9,4;75;45;NUEagr;%;30,6;;;;;;;;3;;;;;;105;;178,83;1,1;6,45;12,28;43,8;36,05;20,1;;;895,72;8,26;816,22;24,57
4903;34;Ren Yi_2011_Effect_Chinese;Database of Luncheng;;116,18;40,14;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,8;7,9;20;;;8,8;75;45;NUEagr;%;70;;;;;;;;3;;;;;;150;;125,93;1,03;5,37;12,79;29,06;28,13;15,08;;;1086,71;11,04;453,63;25,57
4904;34;Ren Yi_2011_Effect_Chinese;Database of Luncheng;;116,18;40,14;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,8;7,9;20;;;8,8;75;45;NUEagr;%;44,3;;;;;;;;3;;;;;;225;;125,93;1,03;5,37;12,79;29,06;28,13;15,08;;;1086,71;11,04;453,63;25,57
4905;34;Zhou Liping_2016_Comparison_Chinese;Database of Luncheng;;116,59;39,6;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,6;7,9;21,3;;;9,9;90;90;NUEagr;%;20,8;;;;;;;;3;;;;;;180;;203;1,22;7,95;10,63;37,45;40,03;22,47;;;1104,86;13,41;483,28;21,27
4906;34;Zhou Liping_2016_Comparison_Chinese;Database of Luncheng;;116,59;39,6;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,6;7,9;21,3;;;9,9;90;90;NUEagr;%;20,8;;;;;;;;3;;;;;;180;;203;1,22;7,95;10,63;37,45;40,03;22,47;;;1104,86;13,41;483,28;21,27
4907;34;Zhou Liping_2016_Comparison_Chinese;Database of Luncheng;;116,59;39,6;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,6;7,9;21,3;;;9,9;90;90;NUEagr;%;20,8;;;;;;;;3;;;;;;180;;203;1,22;7,95;10,63;37,45;40,03;22,47;;;1104,86;13,41;483,28;21,27
4908;34;Zhou Liping_2016_Comparison_Chinese;Database of Luncheng;;116,59;39,6;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,6;7,9;21,3;;;9,9;90;90;NUEagr;%;20,8;;;;;;;;3;;;;;;180;;203;1,22;7,95;10,63;37,45;40,03;22,47;;;1104,86;13,41;483,28;21,27
4909;34;Ji Dezhi_2015_Effects_Chinese;Database of Luncheng;;126,59;45,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;7,9;6,6;33,6;;;24,8;52,5;63;NUEagr;%;49,3;;;;;;;;4;;;;;;126;;229,05;2,1;5,93;23,13;20,52;37,03;27,97;;;849,15;4,44;526,03;46,27
4910;34;Ji Dezhi_2015_Effects_Chinese;Database of Luncheng;;126,59;45,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;7,9;6,6;33,6;;;24,8;52,5;63;NUEagr;%;49,3;;;;;;;;4;;;;;;126;;229,05;2,1;5,93;23,13;20,52;37,03;27,97;;;849,15;4,44;526,03;46,27
4911;34;Ji Dezhi_2015_Effects_Chinese;Database of Luncheng;;126,59;45,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;7,9;6,6;33,6;;;24,8;52,5;63;NUEagr;%;49,3;;;;;;;;4;;;;;;126;;229,05;2,1;5,93;23,13;20,52;37,03;27,97;;;849,15;4,44;526,03;46,27
4912;34;Ji Dezhi_2015_Effects_Chinese;Database of Luncheng;;126,59;45,8;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;7,9;6,6;33,6;;;24,8;52,5;63;NUEagr;%;49,3;;;;;;;;4;;;;;;126;;229,05;2,1;5,93;23,13;20,52;37,03;27,97;;;849,15;4,44;526,03;46,27
4913;34;An Jingwen_2008_Effects_Chinese;Database of Luncheng;;123,08;41,92;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,9;7,1;30,7;;;13,5;;;NUEagr;%;28;;;;;;;;3;;;;;;180;;290,33;1,31;7,1;16,67;29,23;35,3;35,47;;;970,82;9,08;652,02;33,33
4914;34;An Jingwen_2008_Effects_Chinese;Database of Luncheng;;123,08;41,92;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,9;7,1;30,7;;;13,5;;;NUEagr;%;28,6;;;;;;;;3;;;;;;180;;290,33;1,31;7,1;16,67;29,23;35,3;35,47;;;970,82;9,08;652,02;33,33
4915;34;Yuan Manman_2011_Effects_Chinese;Database of Luncheng;;118,55;31,25;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,5;6,6;42,6;;;12,1;90;120;NUEagr;%;20,7;;;;;;;;3;;;;;;240;;150,17;1,38;6,68;15,52;4,15;49,82;46,03;;;967,46;16,5;1246,93;31,03
