obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl
4665;34;Zhang Lu_2010_Study_Chinese;Database of Luncheng;;116,54;28,54;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,1;5,6;36,3;;;11,3;;;NUEagr;%;29,2;;;;;;;;3;;;;;;150
4666;34;Li Songlin_2011_Nitrogen_Chinese;Database of Luncheng;;120,82;30,8;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;3,3;6,7;33,6;;;17,2;;;NUEagr;%;22,4;;;;;;;;3;;;;;;210
4667;34;Guan Jianxin_2009_Effects_Chinese;Database of Luncheng;;111,91;27,19;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;3,4;5,9;37,8;;;13,1;;;NUEagr;%;23,6;;;;;;;;4;;;;;;300
4668;34;Guan Jianxin_2009_Effects_Chinese;Database of Luncheng;;111,91;27,19;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;3,4;5,9;37,8;;;13,1;;;NUEagr;%;23,6;;;;;;;;4;;;;;;300
4669;34;Guan Jianxin_2009_Effects_Chinese;Database of Luncheng;;111,91;27,19;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;3,4;5,9;37,8;;;13,1;;;NUEagr;%;30,3;;;;;;;;4;;;;;;300
4670;34;Guan Jianxin_2009_Effects_Chinese;Database of Luncheng;;111,91;27,19;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;3,4;5,9;37,8;;;13,1;;;NUEagr;%;30,3;;;;;;;;4;;;;;;300
4671;34;Guan Jianxin_2009_Effects_Chinese;Database of Luncheng;;111,91;27,19;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;3,4;5,9;37,8;;;13,1;;;NUEagr;%;19,2;;;;;;;;4;;;;;;300
4672;34;Guan Jianxin_2009_Effects_Chinese;Database of Luncheng;;111,91;27,19;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;3,4;5,9;37,8;;;13,1;;;NUEagr;%;19,2;;;;;;;;4;;;;;;300
4673;34;Guan Jianxin_2009_Effects_Chinese;Database of Luncheng;;111,91;27,19;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;3,4;5,9;37,8;;;13,1;;;NUEagr;%;29,8;;;;;;;;4;;;;;;300
4674;34;Guan Jianxin_2009_Effects_Chinese;Database of Luncheng;;111,91;27,19;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;3,4;5,9;37,8;;;13,1;;;NUEagr;%;29,8;;;;;;;;4;;;;;;300
